ListingID,City,PropertyType,BHK,Bathrooms,Balconies,Furnishing,CarpetArea_sqft,Floor,TotalFloors,BuildingType,YearBuilt,AgeYears,Facing,Price_INR
HP00490,Ahmedabad,Apartment,2,3,2,Semi-Furnished,790,12,22,High Rise,2016,9,North,5930000
HP01725,Bengaluru,Row House,1,1,2,Furnished,497,3,4,Low Rise,2017,8,East,8230000
HP01414,Chennai,Apartment,2,3,2,Furnished,726,7,14,High Rise,2022,3,South-East,10510000
HP00823,Chennai,Apartment,1,2,1,Semi-Furnished,797,5,15,High Rise,2001,24,North-East,9240000
HP01989,Bengaluru,Apartment,3,4,2,Semi-Furnished,1536,12,12,Mid Rise,2017,8,North-West,22100000
HP01576,Hyderabad,Apartment,2,3,2,Unfurnished,771,21,32,High Rise,2009,16,South-East,7710000
HP00920,MMR,Villa,4,5,3,Semi-Furnished,1912,0,3,Bungalow,2019,6,North-East,53900000
HP01118,Pune,Apartment,3,4,2,Unfurnished,1063,1,13,High Rise,2017,8,North-East,14370000
HP01709,Kolkata,Apartment,4,5,1,Furnished,1405,11,12,Mid Rise,2011,14,North-West,16560000
HP00477,Chennai,Villa,3,3,2,Semi-Furnished,1196,0,3,Low Rise,2013,12,East,17830000
HP02206,Delhi NCR,Villa,4,5,2,Semi-Furnished,1697,4,5,Standalone Building,2006,19,West,28410000
HP01033,Delhi NCR,Apartment,3,3,3,Semi-Furnished,1368,17,21,High Rise,2009,16,North-East,17430000
HP00293,Delhi NCR,Apartment,3,4,3,Furnished,1078,2,4,Low Rise,2025,0,West,15300000
HP01477,Chennai,Apartment,4,5,1,Semi-Furnished,1748,23,40,High Rise,2023,2,North-West,23810000
HP00727,Hyderabad,Penthouse,3,3,1,Semi-Furnished,1351,6,20,High Rise,2021,4,West,20630000
HP00741,Hyderabad,Apartment,3,4,1,Unfurnished,1075,8,11,Gated Community,2023,2,South,11210000
HP00416,Ahmedabad,Apartment,3,4,1,Unfurnished,1843,18,27,High Rise,2025,0,South-East,15010000
HP01069,Bengaluru,Penthouse,3,4,3,Semi-Furnished,1105,14,33,High Rise,2017,8,West,21490000
HP00909,Delhi NCR,Apartment,2,3,1,Unfurnished,1136,16,29,High Rise,2007,18,West,15770000
HP00630,Chennai,Independent House,2,2,1,Semi-Furnished,1000,3,3,Standalone Building,2023,2,East,13710000
HP00028,Bengaluru,Independent House,3,3,1,Semi-Furnished,1686,8,12,Gated Community,2018,7,South-East,21660000
HP02306,MMR,Independent House,2,3,1,Unfurnished,1020,1,5,Low Rise,2007,18,West,20450000
HP00045,Kolkata,Apartment,3,4,1,Furnished,1132,7,11,Gated Community,2006,19,South,12610000
HP00214,Kolkata,Apartment,4,4,1,Unfurnished,2351,4,10,Mid Rise,2014,11,North-East,31790000
HP01833,Bengaluru,Apartment,1,2,1,Semi-Furnished,608,18,36,High Rise,2016,9,South,7130000
HP02268,MMR,Apartment,2,3,2,Semi-Furnished,971,12,34,High Rise,2007,18,North-East,20040000
HP01359,Kolkata,Apartment,3,3,2,Unfurnished,1843,4,4,Low Rise,2011,14,North-West,18250000
HP01574,MMR,Apartment,2,2,2,Furnished,869,7,7,Gated Community,2014,11,South-West,19710000
HP00356,Bengaluru,Independent House,3,4,1,Unfurnished,1410,2,9,Gated Community,2017,8,North,21730000
HP00042,Delhi NCR,Apartment,4,4,2,Semi-Furnished,1633,5,22,High Rise,2002,23,South-West,19400000
HP00288,Bengaluru,Apartment,2,2,2,Semi-Furnished,1201,7,9,Gated Community,2025,0,North-West,14080000
HP01662,Hyderabad,Apartment,1,1,2,Unfurnished,671,6,9,Mid Rise,2011,14,North,6820000
HP00068,Bengaluru,Studio,0,2,0,Unfurnished,371,19,40,High Rise,2014,11,North-East,3880000
HP01651,Hyderabad,Studio,0,1,0,Unfurnished,438,1,5,Standalone Building,2018,7,North-West,4670000
HP01873,Chennai,Independent House,4,5,2,Semi-Furnished,1460,0,2,Bungalow,2015,10,South-West,16480000
HP01476,Bengaluru,Apartment,3,3,1,Unfurnished,1321,1,4,Low Rise,2000,25,East,13050000
HP01746,Bengaluru,Independent House,3,3,2,Semi-Furnished,1213,0,1,Bungalow,2012,13,North-West,16100000
HP01471,MMR,Apartment,2,2,1,Furnished,1282,7,10,Gated Community,2012,13,North,30420000
HP01846,Ahmedabad,Apartment,4,4,1,Unfurnished,1434,1,8,Mid Rise,2007,18,North-West,8320000
HP00121,Ahmedabad,Apartment,1,2,1,Unfurnished,742,1,39,High Rise,2014,11,South-East,5810000
HP01617,Ahmedabad,Studio,0,2,1,Semi-Furnished,372,15,31,High Rise,2011,14,South-West,2230000
HP00700,Kolkata,Studio,0,1,0,Unfurnished,376,27,40,High Rise,1997,28,West,3160000
HP02107,Delhi NCR,Studio,0,2,1,Unfurnished,510,17,38,High Rise,2002,23,West,6540000
HP00144,Bengaluru,Apartment,2,2,3,Furnished,737,6,12,Mid Rise,2012,13,North-East,9910000
HP00204,Pune,Villa,3,3,2,Unfurnished,1055,4,4,Standalone Building,2012,13,North-West,14890000
HP01642,Hyderabad,Penthouse,5,5,1,Semi-Furnished,3790,4,36,High Rise,2008,17,East,52300000
HP00414,Bengaluru,Apartment,2,3,1,Unfurnished,1122,1,7,Mid Rise,2002,23,South,14120000
HP02120,Pune,Apartment,2,3,2,Semi-Furnished,1252,3,3,Standalone Building,2018,7,South,18770000
HP01499,Kolkata,Apartment,3,4,3,Unfurnished,1091,4,7,Mid Rise,2014,11,East,12530000
HP00131,MMR,Apartment,3,3,1,Furnished,1167,0,4,Standalone Building,2016,9,South-West,27800000
HP01483,Pune,Apartment,2,3,1,Semi-Furnished,949,7,8,Mid Rise,2013,12,North-West,11180000
HP00445,Delhi NCR,Apartment,2,3,1,Unfurnished,770,0,3,Standalone Building,2018,7,South,8300000
HP01015,Pune,Apartment,1,2,3,Semi-Furnished,660,20,22,High Rise,2016,9,East,9570000
HP01644,Bengaluru,Apartment,4,4,1,Semi-Furnished,1738,5,35,High Rise,2011,14,North-East,26320000
HP02336,Delhi NCR,Apartment,4,4,2,Unfurnished,1995,4,6,Mid Rise,2022,3,East,26880000
HP02338,Delhi NCR,Independent House,4,5,2,Unfurnished,2579,3,5,Standalone Building,2009,16,East,23690000
HP01814,Chennai,Apartment,2,3,1,Semi-Furnished,952,5,28,High Rise,2022,3,West,12580000
HP00148,MMR,Studio,0,1,1,Unfurnished,466,3,4,Standalone Building,2007,18,North-West,8340000
HP00069,Bengaluru,Penthouse,5,5,2,Semi-Furnished,1980,5,13,High Rise,2009,16,South-East,33990000
HP01288,Kolkata,Penthouse,3,3,2,Unfurnished,1623,5,16,High Rise,2009,16,South-West,27120000
HP01066,Bengaluru,Row House,3,3,3,Furnished,1035,0,2,Bungalow,2023,2,South-East,16470000
HP00722,Hyderabad,Row House,1,2,1,Unfurnished,499,4,12,Gated Community,2004,21,South-West,5820000
HP02029,Delhi NCR,Apartment,4,4,2,Unfurnished,1449,2,11,Gated Community,2022,3,North-West,22810000
HP01422,Hyderabad,Row House,1,2,1,Semi-Furnished,460,6,7,Gated Community,2024,1,North,6080000
HP00940,Hyderabad,Apartment,3,3,1,Semi-Furnished,1893,29,39,High Rise,2025,0,East,26820000
HP00792,Chennai,Villa,5,5,1,Semi-Furnished,2170,10,12,Gated Community,2012,13,South,34480000
HP01879,Bengaluru,Villa,3,4,1,Furnished,1348,8,11,Gated Community,2007,18,North-East,21750000
HP00552,Pune,Apartment,2,3,2,Semi-Furnished,947,8,15,High Rise,2012,13,North,11440000
HP00432,Ahmedabad,Studio,0,1,1,Semi-Furnished,395,7,15,High Rise,2022,3,South,2910000
HP01172,Kolkata,Apartment,2,3,1,Unfurnished,835,1,2,Standalone Building,2025,0,North,8450000
HP01258,Chennai,Apartment,2,2,2,Semi-Furnished,1228,2,2,Standalone Building,2015,10,South-West,12870000
HP02346,Hyderabad,Apartment,2,3,1,Unfurnished,1053,10,10,Mid Rise,2022,3,South-East,13350000
HP00040,Pune,Apartment,2,3,2,Unfurnished,1288,17,36,High Rise,2022,3,North-East,18510000
HP01210,Delhi NCR,Apartment,3,3,2,Semi-Furnished,1630,14,26,High Rise,2018,7,North-West,22870000
HP00457,Ahmedabad,Apartment,3,3,1,Unfurnished,1218,0,2,Standalone Building,2017,8,South-East,9410000
HP00491,Pune,Independent House,4,4,2,Semi-Furnished,1490,0,2,Bungalow,2020,5,North,24600000
HP01579,Delhi NCR,Apartment,4,5,1,Semi-Furnished,2040,6,13,High Rise,2010,15,South,26470000
HP01071,Chennai,Apartment,2,3,2,Unfurnished,970,2,23,High Rise,2016,9,West,11500000
HP01116,MMR,Apartment,2,2,2,Unfurnished,1109,2,9,Gated Community,2009,16,South-East,19560000
HP02112,Pune,Apartment,2,3,1,Semi-Furnished,883,7,11,Gated Community,2012,13,South-East,11180000
HP02309,MMR,Apartment,4,5,1,Semi-Furnished,2236,1,34,High Rise,2021,4,North-West,62060000
HP00332,Bengaluru,Apartment,2,3,1,Semi-Furnished,849,3,26,High Rise,2016,9,West,10660000
HP01052,MMR,Penthouse,2,3,2,Unfurnished,1216,3,17,High Rise,2013,12,South,33490000
HP02076,Bengaluru,Villa,4,5,2,Furnished,1691,0,3,Bungalow,2018,7,North-West,31420000
HP01786,Chennai,Apartment,3,3,1,Furnished,1733,11,31,High Rise,2025,0,North-West,22220000
HP02352,MMR,Apartment,3,4,3,Semi-Furnished,1469,5,7,Gated Community,2011,14,North,28460000
HP00698,MMR,Apartment,2,3,1,Unfurnished,729,3,9,Mid Rise,2012,13,South-West,14600000
HP01493,Delhi NCR,Apartment,2,3,1,Semi-Furnished,704,4,7,Mid Rise,2016,9,South-East,8990000
HP02031,Hyderabad,Studio,0,2,1,Semi-Furnished,530,0,3,Standalone Building,2020,5,North-East,5390000
HP01217,Delhi NCR,Villa,3,4,1,Unfurnished,1639,0,2,Bungalow,2013,12,South-West,23800000
HP01783,Kolkata,Row House,3,3,3,Furnished,1775,2,5,Standalone Building,2005,20,South,26760000
HP02198,Ahmedabad,Apartment,3,3,3,Semi-Furnished,1228,6,9,Mid Rise,2003,22,South,9920000
HP01839,MMR,Apartment,4,5,2,Semi-Furnished,1498,4,9,Mid Rise,2017,8,North-West,38610000
HP01016,Delhi NCR,Penthouse,4,5,1,Semi-Furnished,1657,1,34,High Rise,2019,6,North,31960000
HP01708,Chennai,Independent House,3,3,1,Furnished,1079,1,2,Standalone Building,2018,7,North-East,19360000
HP01302,MMR,Apartment,1,1,2,Unfurnished,643,4,17,High Rise,2008,17,North,16110000
HP00103,Chennai,Apartment,2,3,2,Unfurnished,999,4,7,Mid Rise,2006,19,North-East,10080000
HP00380,Hyderabad,Apartment,2,3,1,Unfurnished,833,1,9,Gated Community,2024,1,North,8740000
HP01526,Hyderabad,Apartment,3,3,2,Semi-Furnished,1224,9,10,Gated Community,2008,17,South,12910000
HP00403,Chennai,Apartment,2,3,1,Furnished,1157,2,9,Gated Community,2021,4,North,18240000
HP00137,MMR,Apartment,3,4,2,Unfurnished,1870,2,38,High Rise,2010,15,South-East,36150000
HP00584,Kolkata,Row House,2,2,2,Unfurnished,1028,3,9,Gated Community,2005,20,West,12210000
HP01461,Delhi NCR,Apartment,1,2,1,Unfurnished,480,1,3,Standalone Building,2019,6,South,6180000
HP02175,Bengaluru,Independent House,3,4,2,Furnished,1831,0,2,Bungalow,2014,11,North,21630000
HP02242,Delhi NCR,Villa,3,3,1,Semi-Furnished,1206,4,8,Gated Community,2022,3,North-West,17700000
HP00924,Kolkata,Apartment,4,5,1,Furnished,1408,4,7,Mid Rise,2025,0,North-West,15410000
HP00999,Chennai,Apartment,3,3,1,Unfurnished,1243,10,38,High Rise,2025,0,West,16250000
HP01945,Ahmedabad,Independent House,3,4,2,Semi-Furnished,1763,4,4,Low Rise,2022,3,South-West,13150000
HP01511,Chennai,Studio,0,2,1,Unfurnished,433,2,11,Mid Rise,2023,2,East,5200000
HP01613,Delhi NCR,Apartment,2,3,2,Furnished,1117,3,4,Standalone Building,2007,18,North,11720000
HP00374,Hyderabad,Independent House,5,6,1,Semi-Furnished,3842,11,12,Gated Community,2021,4,North-West,50630000
HP01512,Kolkata,Apartment,3,3,2,Furnished,1491,4,15,High Rise,2023,2,North,16340000
HP00157,Delhi NCR,Apartment,4,4,1,Semi-Furnished,2143,7,12,High Rise,2011,14,North-East,28810000
HP01001,Kolkata,Apartment,3,3,1,Unfurnished,1605,16,18,High Rise,2007,18,South-West,16530000
HP01062,Hyderabad,Penthouse,2,3,1,Unfurnished,964,16,16,High Rise,2021,4,South-West,12710000
HP01058,Delhi NCR,Apartment,3,4,2,Unfurnished,1669,6,31,High Rise,2010,15,West,21410000
HP01742,MMR,Apartment,3,4,1,Unfurnished,1235,27,38,High Rise,2015,10,North-West,31100000
HP00362,Delhi NCR,Apartment,2,2,2,Semi-Furnished,1004,9,32,High Rise,2017,8,South-East,11250000
HP00926,Chennai,Studio,0,1,1,Unfurnished,487,4,26,High Rise,2017,8,North-West,5950000
HP00601,MMR,Apartment,4,5,1,Unfurnished,2191,3,5,Standalone Building,2012,13,South-East,48770000
HP00501,Delhi NCR,Penthouse,3,3,2,Semi-Furnished,1246,14,20,High Rise,2025,0,South-East,25270000
HP00230,MMR,Apartment,1,1,3,Furnished,482,15,37,High Rise,2016,9,South-West,10790000
HP01252,Kolkata,Apartment,4,5,2,Semi-Furnished,2446,3,9,Gated Community,2001,24,South-East,28640000
HP00615,Ahmedabad,Row House,1,2,2,Unfurnished,548,10,12,Gated Community,2014,11,North-East,4410000
HP00189,Kolkata,Apartment,2,2,1,Unfurnished,1183,4,12,Mid Rise,2019,6,South,14010000
HP01514,Delhi NCR,Studio,0,2,0,Unfurnished,322,1,2,Standalone Building,2011,14,East,3850000
HP01409,Hyderabad,Apartment,3,4,1,Semi-Furnished,1227,3,6,Gated Community,2018,7,South-East,13010000
HP01034,Chennai,Apartment,2,3,1,Unfurnished,759,12,12,Mid Rise,2025,0,South-West,11230000
HP00574,Bengaluru,Independent House,4,5,2,Furnished,1527,6,7,Gated Community,2025,0,West,26570000
HP02128,Chennai,Studio,0,1,1,Furnished,475,5,23,High Rise,2011,14,South,5580000
HP01419,Chennai,Apartment,2,3,1,Unfurnished,959,11,22,High Rise,2006,19,South,10230000
HP02087,Bengaluru,Apartment,3,4,1,Furnished,1733,1,10,Mid Rise,2020,5,North,22190000
HP00637,Pune,Apartment,2,3,2,Unfurnished,820,0,2,Standalone Building,2012,13,West,8640000
HP00737,Hyderabad,Apartment,4,5,1,Unfurnished,2167,2,6,Gated Community,2009,16,South-East,22790000
HP00147,Ahmedabad,Apartment,2,2,1,Unfurnished,827,3,5,Low Rise,2015,10,East,5960000
HP01307,Hyderabad,Apartment,2,2,1,Unfurnished,1038,4,4,Standalone Building,2010,15,South,10900000
HP02279,Kolkata,Apartment,3,3,1,Unfurnished,1417,4,6,Gated Community,2025,0,North-East,15080000
HP01354,MMR,Apartment,3,4,2,Semi-Furnished,1418,1,7,Gated Community,2008,17,East,38240000
HP01977,Pune,Apartment,4,4,2,Semi-Furnished,2063,2,2,Standalone Building,2009,16,East,21230000
HP01516,Delhi NCR,Apartment,2,3,2,Furnished,1111,4,6,Mid Rise,2013,12,North-East,14310000
HP01341,MMR,Apartment,2,3,2,Unfurnished,895,36,38,High Rise,2016,9,West,19560000
HP01684,Ahmedabad,Penthouse,5,5,3,Unfurnished,3444,27,37,High Rise,2016,9,West,33700000
HP00149,MMR,Penthouse,3,4,1,Semi-Furnished,1454,19,40,High Rise,2025,0,East,40360000
HP01057,Hyderabad,Villa,4,5,2,Unfurnished,2526,0,3,Bungalow,2021,4,North,36430000
HP01056,Chennai,Penthouse,2,3,1,Unfurnished,1019,11,27,High Rise,2024,1,North-East,19570000
HP00035,Pune,Apartment,4,5,2,Unfurnished,1907,22,25,High Rise,2014,11,South-East,23400000
HP01484,Ahmedabad,Penthouse,4,5,2,Semi-Furnished,1715,25,28,High Rise,2004,21,South,16830000
HP00817,Kolkata,Apartment,1,1,1,Unfurnished,481,1,9,Mid Rise,2014,11,East,4910000
HP01060,Kolkata,Villa,5,5,2,Semi-Furnished,3506,2,4,Low Rise,2018,7,South,39350000
HP01716,Kolkata,Independent House,5,6,2,Unfurnished,3632,0,3,Bungalow,2022,3,South-East,43690000
HP00285,Chennai,Apartment,3,4,3,Furnished,1427,5,5,Standalone Building,2015,10,South-East,20300000
HP00516,MMR,Apartment,2,3,1,Unfurnished,1077,2,4,Standalone Building,2004,21,South,21430000
HP01231,Ahmedabad,Independent House,5,6,2,Furnished,4125,0,3,Bungalow,2016,9,South-East,28870000
HP00276,Ahmedabad,Apartment,3,3,1,Unfurnished,1816,8,10,Gated Community,2020,5,South-East,16420000
HP01042,Pune,Apartment,4,4,2,Semi-Furnished,1892,16,33,High Rise,2020,5,West,25000000
HP01443,Ahmedabad,Villa,2,3,3,Semi-Furnished,817,0,1,Bungalow,2017,8,South-West,7670000
HP01393,Kolkata,Row House,2,3,2,Unfurnished,857,1,2,Low Rise,2010,15,North-East,11010000
HP02148,Hyderabad,Apartment,3,4,3,Semi-Furnished,1702,0,2,Standalone Building,2025,0,West,17870000
HP01711,Bengaluru,Independent House,4,5,1,Semi-Furnished,1557,12,12,Gated Community,2002,23,North,21890000
HP00702,Bengaluru,Apartment,3,4,3,Semi-Furnished,1626,8,18,High Rise,2016,9,North-West,22850000
HP01423,Pune,Apartment,3,4,1,Semi-Furnished,1757,9,12,Gated Community,2024,1,North,18980000
HP00878,Delhi NCR,Apartment,2,3,2,Unfurnished,1260,13,26,High Rise,2013,12,North-West,15770000
HP02287,Pune,Penthouse,6,7,1,Unfurnished,3083,8,20,High Rise,2021,4,South-East,46430000
HP02349,Pune,Apartment,2,3,2,Semi-Furnished,969,8,9,Mid Rise,2024,1,South,12600000
HP01269,Kolkata,Apartment,2,2,2,Unfurnished,833,6,8,Mid Rise,2005,20,West,7300000
HP00941,MMR,Villa,3,4,1,Semi-Furnished,1059,3,4,Standalone Building,2025,0,North-East,30780000
HP01621,MMR,Villa,3,3,1,Furnished,1371,0,3,Bungalow,2013,12,West,37820000
HP00378,Hyderabad,Apartment,2,2,3,Unfurnished,971,9,12,Gated Community,2012,13,South-West,10500000
HP02096,Chennai,Villa,5,6,2,Unfurnished,2769,0,5,Low Rise,2009,16,South,33800000
HP01182,MMR,Apartment,3,4,2,Semi-Furnished,1527,2,12,Mid Rise,2014,11,South,42150000
HP01397,Bengaluru,Villa,3,4,1,Semi-Furnished,1471,2,6,Gated Community,2016,9,North-West,23350000
HP00439,Ahmedabad,Penthouse,3,4,1,Unfurnished,1215,5,16,High Rise,2021,4,South,11210000
HP01373,Kolkata,Apartment,2,2,1,Unfurnished,1293,16,26,High Rise,2016,9,South-West,14280000
HP00349,Ahmedabad,Studio,0,1,0,Unfurnished,525,15,25,High Rise,2019,6,West,3430000
HP01295,Kolkata,Apartment,4,4,2,Unfurnished,1510,0,4,Standalone Building,2009,16,East,15480000
HP01687,Kolkata,Studio,0,2,0,Unfurnished,500,2,7,Mid Rise,2000,25,West,5180000
HP01099,Ahmedabad,Apartment,2,3,2,Unfurnished,1077,2,9,Gated Community,2007,18,North,6770000
HP00521,Ahmedabad,Penthouse,3,4,1,Unfurnished,1844,2,21,High Rise,2020,5,North-East,16530000
HP00434,MMR,Apartment,2,2,1,Semi-Furnished,1062,4,12,High Rise,2016,9,North-West,24680000
HP01496,Kolkata,Apartment,3,4,2,Semi-Furnished,1153,3,11,Mid Rise,2004,21,South-East,11390000
HP01582,MMR,Studio,0,1,0,Unfurnished,383,17,18,High Rise,2019,6,South-East,6860000
HP01625,MMR,Studio,0,2,0,Unfurnished,368,3,9,Mid Rise,2005,20,South-East,5610000
HP00329,Hyderabad,Villa,2,2,2,Unfurnished,1079,0,3,Bungalow,2016,9,South,14870000
HP00841,Chennai,Studio,0,2,1,Unfurnished,353,16,23,High Rise,2015,10,West,4800000
HP00032,Kolkata,Apartment,3,4,1,Semi-Furnished,1373,1,5,Low Rise,2004,21,East,14380000
HP00645,MMR,Apartment,3,4,2,Unfurnished,1160,6,9,Mid Rise,2025,0,South,26690000
HP00268,Pune,Apartment,2,3,1,Semi-Furnished,833,8,12,High Rise,2016,9,South,8580000
HP02296,Kolkata,Penthouse,3,4,1,Unfurnished,1051,19,28,High Rise,2012,13,South-East,13430000
HP02323,Pune,Villa,4,4,1,Unfurnished,2091,1,4,Standalone Building,2009,16,East,26910000
HP01650,Pune,Apartment,1,2,2,Furnished,598,3,10,Gated Community,2006,19,East,7340000
HP01820,Ahmedabad,Apartment,2,2,2,Semi-Furnished,1275,9,11,Mid Rise,2014,11,North,9430000
HP02125,Delhi NCR,Apartment,3,4,1,Unfurnished,1273,2,12,High Rise,2003,22,South,14790000
HP00840,Kolkata,Apartment,2,2,2,Semi-Furnished,869,3,9,Gated Community,2011,14,South-West,8850000
HP02151,Hyderabad,Penthouse,2,3,1,Semi-Furnished,1212,22,33,High Rise,2012,13,West,19060000
HP00401,Kolkata,Apartment,3,3,1,Furnished,1223,5,7,Gated Community,2002,23,North-East,14270000
HP01900,MMR,Villa,3,4,2,Furnished,1420,2,5,Low Rise,2018,7,North-West,37600000
HP01171,Ahmedabad,Row House,2,3,3,Semi-Furnished,1283,4,7,Gated Community,2011,14,North-East,10720000
HP00688,Delhi NCR,Apartment,3,4,1,Unfurnished,1231,2,3,Standalone Building,1999,26,South-East,15620000
HP00522,Bengaluru,Apartment,3,4,3,Furnished,1353,5,11,Mid Rise,2025,0,North-West,22370000
HP01107,Delhi NCR,Apartment,2,3,3,Furnished,866,10,31,High Rise,2019,6,West,12830000
HP00533,Pune,Independent House,2,2,2,Unfurnished,845,0,2,Bungalow,2003,22,South-East,10800000
HP01937,Kolkata,Apartment,3,4,2,Semi-Furnished,1654,8,13,High Rise,2015,10,North-West,19850000
